,pokemon1_type,pokemon2_type,pokemon3_type,vulnerability
0,15,1,12,11
1,8,13,17,1
2,14,0,8,1
3,14,7,6,10
4,11,13,11,5
5,8,4,1,12
6,10,2,10,11
7,17,15,16,0
8,17,0,4,13
9,15,13,3,0
10,9,12,12,13
11,10,12,7,8
12,13,16,6,5
13,6,14,4,5
14,12,9,5,10
15,8,4,0,12
16,0,9,9,10
17,15,0,0,14
18,11,13,6,5
19,15,6,3,14
20,10,3,11,4
21,14,8,12,13
22,2,1,0,12
23,12,7,4,15
24,7,12,10,4
25,3,10,6,8
26,9,15,9,10
27,16,2,17,0
28,5,17,8,0
29,14,9,8,17
30,13,13,16,1
31,7,6,16,8
32,10,2,9,11
33,1,11,9,3
34,6,12,14,13
35,1,12,2,4
36,17,2,4,0
37,0,17,5,13
38,12,13,9,13
39,3,12,1,13
40,13,5,9,10
41,7,17,7,10
42,9,17,12,13
43,5,2,10,0
44,17,10,6,8
45,9,0,4,1
46,3,5,3,13
47,8,3,1,12
48,16,5,13,16
49,13,6,2,5
50,14,9,14,10
51,10,12,15,11
52,1,1,15,3
53,16,12,8,16
54,11,14,4,3
55,5,15,16,0
56,8,7,11,12
57,8,15,9,12
58,16,8,6,16
59,4,12,16,16
60,4,8,1,16
61,11,16,15,14
62,5,10,10,11
63,2,10,5,0
64,2,8,8,12
65,6,12,8,5
66,9,12,10,4
67,5,8,15,0
68,17,7,3,10
69,5,9,8,17
70,17,13,4,0
71,4,12,0,13
72,0,10,13,1
73,1,7,14,2
74,16,3,11,16
75,13,15,14,1
76,6,2,15,5
77,1,10,12,4
78,4,12,13,16
79,11,15,1,3
80,9,4,8,16
81,7,16,1,8
82,8,8,4,12
83,12,14,7,13
84,4,10,13,16
85,10,8,11,11
86,11,12,15,14
87,6,15,8,5
88,8,0,17,13
89,12,11,1,3
90,3,5,16,13
91,11,8,17,3
92,14,0,3,13
93,2,1,10,11
94,5,16,8,17
95,11,7,13,5
96,10,8,3,4
97,8,17,3,13
98,8,0,17,13
99,9,1,0,10
100,5,6,17,10
101,6,4,13,5
102,1,1,12,3
103,3,14,14,13
104,0,1,13,2
105,1,6,2,5
106,5,3,13,0
107,12,17,3,13
108,5,8,6,17
109,9,14,0,10
110,0,11,12,14
111,5,7,8,17
112,2,17,2,0
113,11,8,11,3
114,13,11,7,5
115,13,1,16,2
116,9,6,17,10
117,1,0,1,3
118,14,15,2,0
119,8,13,10,17
120,9,17,11,10
121,5,16,9,0
122,16,5,13,16
123,1,14,14,2
124,7,7,5,10
125,1,17,4,3
126,6,10,13,5
127,14,14,11,1
128,7,13,12,1
129,2,0,1,12
130,17,8,5,0
131,7,10,5,10
132,2,1,7,15
133,16,7,7,10
134,7,5,11,14
135,10,12,7,8
136,8,16,10,17
137,4,6,13,5
138,3,14,13,13
139,12,17,12,13
140,14,17,6,10
141,4,17,7,10
142,6,5,1,6
143,10,8,13,11
144,16,12,16,16
145,11,14,5,14
146,13,11,9,5
147,11,1,0,3
148,11,2,9,5
149,2,5,8,0
150,14,0,2,1
151,6,14,3,13
152,5,6,0,14
153,6,1,4,6
154,7,1,5,10
155,17,13,15,0
156,9,0,6,10
157,8,11,16,17
158,2,10,14,11
159,5,2,5,0
160,2,12,4,15
161,7,13,16,8
162,10,0,1,11
163,16,1,2,16
164,5,11,15,14
165,11,6,5,14
166,7,5,13,10
167,4,6,8,16
168,9,14,3,10
169,6,10,10,8
170,0,3,11,14
171,7,1,1,3
172,3,1,1,3
173,16,4,2,16
174,7,6,12,8
175,15,15,7,0
176,2,2,16,0
177,10,0,1,11
178,12,17,14,13
179,12,9,3,13
180,16,14,13,1
181,6,6,12,5
182,15,9,4,0
183,1,2,13,5
184,4,17,10,16
185,4,0,15,14
186,14,6,14,10
187,16,15,15,0
188,2,11,14,5
189,10,17,14,10
190,12,12,16,13
191,8,7,4,15
192,5,10,15,0
193,2,5,0,14
194,5,13,5,0
195,10,13,4,11
196,9,9,7,10
197,11,11,10,3
198,7,5,1,10
199,10,1,15,11
200,0,5,14,1
201,7,1,0,10
202,10,5,8,17
203,15,8,11,14
204,16,6,8,16
205,15,8,12,0
206,1,1,17,3
207,2,0,17,13
208,9,8,0,12
209,12,3,5,13
210,8,1,1,3
211,10,6,16,8
212,15,14,5,14
213,12,13,1,2
214,7,0,3,13
215,2,11,15,0
216,14,6,8,17
217,14,3,9,10
218,12,5,16,13
219,14,9,16,1
220,13,14,1,2
221,9,12,16,13
222,6,6,10,8
223,0,1,0,13
224,17,0,9,10
225,8,6,12,17
226,4,16,16,16
227,15,12,1,11
228,14,14,5,10
229,12,8,7,13
230,11,16,0,14
231,10,15,3,11
232,16,1,0,16
233,1,6,15,5
234,16,17,0,13
235,5,8,1,17
236,2,12,0,13
237,10,16,4,16
238,10,1,7,8
239,3,16,6,13
240,16,5,10,16
241,17,16,2,0
242,10,9,11,11
243,2,16,12,0
244,14,10,7,10
245,9,15,12,0
246,12,2,16,4
247,9,14,3,10
248,4,2,12,15
249,10,8,6,8
250,13,13,8,1
251,16,7,0,10
252,0,16,13,1
253,7,10,13,8
254,17,12,7,13
255,16,17,7,10
256,12,1,6,13
257,4,12,12,13
258,13,10,14,1
259,11,6,1,3
260,1,11,12,3
261,17,3,0,13
262,1,17,4,3
263,4,1,16,16
264,9,7,7,10
265,15,12,16,0
266,17,3,11,0
267,4,0,3,13
268,4,16,11,16
269,5,9,3,10
270,17,12,16,13
271,0,7,6,8
272,12,2,6,5
273,10,10,16,11
274,16,7,11,8
275,4,6,17,16
276,16,17,12,13
277,11,9,16,3
278,5,9,13,10
279,12,8,5,17
280,9,11,16,3
281,10,6,11,8
282,14,1,15,2
283,0,8,6,13
284,9,1,0,10
285,15,2,6,11
286,16,15,9,7
287,16,15,14,16
288,6,6,4,5
289,8,13,6,5
290,15,7,7,10
291,12,16,7,13
292,16,5,2,0
293,10,2,2,11
294,17,16,2,0
295,5,17,8,0
296,2,13,8,5
297,11,9,14,10
298,6,17,13,5
299,15,3,6,14
300,0,7,10,8
301,5,11,1,14
302,15,10,0,11
303,2,7,5,0
304,16,9,15,7
305,4,17,5,0
306,17,4,8,0
307,3,2,13,5
308,17,7,12,13
309,2,16,11,5
310,8,0,14,1
311,9,10,2,11
312,1,16,2,16
313,16,7,1,10
314,10,7,7,8
315,1,12,1,3
316,17,9,7,10
317,13,2,7,5
318,2,1,14,2
319,4,1,16,16
320,15,13,17,0
